Date : 2024-09-25 19:51:10
Directory : c:\Users\서보형\Desktop\git\pj2\pj2-front
Total : 307 files,  35493 codes, 1698 comments, 2311 blanks, all 39502 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| c:\Users\서보형\Desktop\git\pj2\pj2-front\src\pages\acc_regist\acc_regist_start\Acc_regist_start.js                              | JavaScript |         35 |          4 |          9 |         48 |
| c:\Users\서보형\Desktop\git\pj2\pj2-front\src\pages\acc_regist\hook_store\business_hooks\acc_initial_business.js                 | JavaScript |         45 |         10 |          9 |         64 |
| c:\Users\서보형\Desktop\git\pj2\pj2-front\src\pages\acc_regist\hook_store\business_hooks\acc_initial_regist_business.js          | JavaScript |         41 |         15 |         11 |         67 |
| c:\Users\서보형\Desktop\git\pj2\pj2-front\src\pages\acc_regist\hook_store\business_hooks\acc_regist_lv0_business.js              | JavaScript |         30 |          8 |          6 |         44 |
| c:\Users\서보형\Desktop\git\pj2\pj2-front\src\pages\acc_regist\hook_store\business_hooks\acc_regist_lv10_business.js             | JavaScript |         90 |         15 |          9 |        114 |
| c:\Users\서보형\Desktop\git\pj2\pj2-front\src\pages\acc_regist\hook_store\business_hooks\acc_regist_lv11_business.js             | JavaScript |        139 |         25 |         17 |        181 |
| c:\Users\서보형\Desktop\git\pj2\pj2-front\src\pages\acc_regist\hook_store\business_hooks\acc_regist_lv1_business.js              | JavaScript |         42 |         10 |          8 |         60 |
| c:\Users\서보형\Desktop\git\pj2\pj2-front\src\pages\acc_regist\hook_store\business_hooks\acc_regist_lv2_business.js              | JavaScript |         43 |         10 |          8 |         61 |
| c:\Users\서보형\Desktop\git\pj2\pj2-front\src\pages\acc_regist\hook_store\business_hooks\acc_regist_lv3_business.js              | JavaScript |         38 |          5 |          4 |         47 |
| c:\Users\서보형\Desktop\git\pj2\pj2-front\src\pages\acc_regist\hook_store\business_hooks\acc_regist_lv4_business.js              | JavaScript |         33 |          5 |          5 |         43 |
| c:\Users\서보형\Desktop\git\pj2\pj2-front\src\pages\acc_regist\hook_store\business_hooks\acc_regist_lv5_business.js              | JavaScript |         99 |         29 |         16 |        144 |
| c:\Users\서보형\Desktop\git\pj2\pj2-front\src\pages\acc_regist\hook_store\business_hooks\acc_regist_lv6_business.js              | JavaScript |         53 |         17 |         10 |         80 |
| c:\Users\서보형\Desktop\git\pj2\pj2-front\src\pages\acc_regist\hook_store\business_hooks\acc_regist_lv7_business.js              | JavaScript |         35 |          8 |          7 |         50 |
| c:\Users\서보형\Desktop\git\pj2\pj2-front\src\pages\acc_regist\hook_store\business_hooks\acc_regist_lv8_business.js              | JavaScript |         51 |         13 |          7 |         71 |
| c:\Users\서보형\Desktop\git\pj2\pj2-front\src\pages\acc_regist\hook_store\business_hooks\acc_regist_lv9_business.js              | JavaScript |         50 |         13 |          8 |         71 |
| c:\Users\서보형\Desktop\git\pj2\pj2-front\src\pages\acc_regist\hook_store\style_hooks\acc_regist_lv10_style.js                   | JavaScript |         99 |         20 |         18 |        137 |
| c:\Users\서보형\Desktop\git\pj2\pj2-front\src\pages\acc_regist\hook_store\style_hooks\acc_regist_lv11_style.js                   | JavaScript |         13 |          2 |          4 |         19 |
| c:\Users\서보형\Desktop\git\pj2\pj2-front\src\pages\acc_regist\hook_store\style_hooks\acc_regist_lv3_style.js                    | JavaScript |         69 |         13 |          7 |         89 |
| c:\Users\서보형\Desktop\git\pj2\pj2-front\src\pages\acc_regist\hook_store\style_hooks\acc_regist_lv4_style.js                    | JavaScript |         31 |          6 |          8 |         45 |
| c:\Users\서보형\Desktop\git\pj2\pj2-front\src\pages\acc_regist\hook_store\style_hooks\acc_regist_lv6_style.js                    | JavaScript |         31 |         11 |          7 |         49 |
| c:\Users\서보형\Desktop\git\pj2\pj2-front\src\pages\acc_regist\hook_store\style_hooks\acc_regist_lv7_style.js                    | JavaScript |         31 |          6 |          8 |         45 |
| c:\Users\서보형\Desktop\git\pj2\pj2-front\src\pages\acc_regist\hook_store\style_hooks\acc_regist_lv8_style.js                    | JavaScript |         18 |         10 |          6 |         34 |
| c:\Users\서보형\Desktop\git\pj2\pj2-front\src\pages\acc_regist\hook_store\style_hooks\acc_regist_lv9_style.js                    | JavaScript |         18 |          6 |          5 |         29 |
| c:\Users\서보형\Desktop\git\pj2\pj2-front\src\pages\detail_info\detail_info_app\app\detail_info.js                               | JavaScript |         97 |          7 |         17 |        121 |
| c:\Users\서보형\Desktop\git\pj2\pj2-front\src\pages\detail_info\detail_info_app\app\detail_info.scss                             | SCSS       |         65 |          8 |          6 |         79 |
| c:\Users\서보형\Desktop\git\pj2\pj2-front\src\pages\detail_info\detail_info_app\sections\det_sec1\det_sec1.js                    | JavaScript |         49 |          0 |         12 |         61 |
| c:\Users\서보형\Desktop\git\pj2\pj2-front\src\pages\detail_info\detail_info_app\sections\det_sec1\det_sec1.scss                  | SCSS       |         58 |          7 |          8 |         73 |
| c:\Users\서보형\Desktop\git\pj2\pj2-front\src\pages\detail_info\detail_info_app\sections\det_sec1\sec1_payment\sec1_payment.js   | JavaScript |        127 |          7 |         22 |        156 |
| c:\Users\서보형\Desktop\git\pj2\pj2-front\src\pages\detail_info\detail_info_app\sections\det_sec1\sec1_payment\sec1_payment.scss | SCSS       |         81 |          6 |          4 |         91 |
| c:\Users\서보형\Desktop\git\pj2\pj2-front\src\pages\detail_info\detail_info_app\sections\det_sec2\det_sec2.js                    | JavaScript |         17 |          0 |          2 |         19 |
| c:\Users\서보형\Desktop\git\pj2\pj2-front\src\pages\detail_info\detail_info_app\sections\det_sec2\det_sec2.scss                  | SCSS       |         17 |          2 |          3 |         22 |
| c:\Users\서보형\Desktop\git\pj2\pj2-front\src\pages\detail_info\detail_info_app\sections\det_sec3\det_sec3.js                    | JavaScript |         52 |          2 |         11 |         65 |
| c:\Users\서보형\Desktop\git\pj2\pj2-front\src\pages\detail_info\detail_info_app\sections\det_sec3\det_sec3.scss                  | SCSS       |         40 |          6 |          7 |         53 |
| c:\Users\서보형\Desktop\git\pj2\pj2-front\src\pages\detail_info\detail_info_app\sections\det_sec4\det_sec4.js                    | JavaScript |         79 |          3 |         22 |        104 |
| c:\Users\서보형\Desktop\git\pj2\pj2-front\src\pages\detail_info\detail_info_app\sections\det_sec4\det_sec4.scss                  | SCSS       |         71 |          6 |          7 |         84 |
| c:\Users\서보형\Desktop\git\pj2\pj2-front\src\pages\detail_info\detail_info_app\sections\det_sec5\det_sec5.js                    | JavaScript |         18 |          1 |          7 |         26 |
| c:\Users\서보형\Desktop\git\pj2\pj2-front\src\pages\detail_info\detail_info_app\sections\det_sec5\det_sec5.scss                  | SCSS       |         22 |          0 |          1 |         23 |
| c:\Users\서보형\Desktop\git\pj2\pj2-front\src\pages\detail_info\detail_info_app\sections\det_sec6\det_sec6.js                    | JavaScript |         24 |          1 |          7 |         32 |
| c:\Users\서보형\Desktop\git\pj2\pj2-front\src\pages\detail_info\detail_info_app\sections\det_sec6\det_sec6.scss                  | SCSS       |         27 |          1 |          3 |         31 |
| c:\Users\서보형\Desktop\git\pj2\pj2-front\src\pages\detail_info\hook_store\business_hooks\det_detapp_business.js                 | JavaScript |          0 |          0 |          1 |          1 |
| c:\Users\서보형\Desktop\git\pj2\pj2-front\src\pages\detail_info\hook_store\style_hooks\det_detapp_style.js                       | JavaScript |         10 |          2 |          5 |         17 |
| c:\Users\서보형\Desktop\git\pj2\pj2-front\src\pages\evaluation\Evaluation.css                                                    | CSS        |         66 |          2 |         10 |         78 |
| c:\Users\서보형\Desktop\git\pj2\pj2-front\src\pages\evaluation\EvaluationApp.js                                                  | JavaScript |        112 |         13 |         26 |        151 |
| c:\Users\서보형\Desktop\git\pj2\pj2-front\src\pages\index.js                                                                     | JavaScript |         40 |         18 |         14 |         72 |
| c:\Users\서보형\Desktop\git\pj2\pj2-front\src\pages\main\creator-description\Creator-description.css                             | CSS        |         62 |          3 |          3 |         68 |
| c:\Users\서보형\Desktop\git\pj2\pj2-front\src\pages\main\creator-description\Creator-description.js                              | JavaScript |         26 |          0 |          5 |         31 |
| c:\Users\서보형\Desktop\git\pj2\pj2-front\src\pages\main\event-swiper\Event-swiper.css                                           | CSS        |         16 |          1 |          1 |         18 |
| c:\Users\서보형\Desktop\git\pj2\pj2-front\src\pages\main\event-swiper\Event-swiper.js                                            | JavaScript |         33 |          0 |          9 |         42 |
| c:\Users\서보형\Desktop\git\pj2\pj2-front\src\pages\main\hook-store\business-hooks\main-business.js                              | JavaScript |         55 |          6 |          8 |         69 |
| c:\Users\서보형\Desktop\git\pj2\pj2-front\src\pages\main\hook-store\business-hooks\main-lv1-des-business.js                      | JavaScript |          0 |          0 |          1 |          1 |
| c:\Users\서보형\Desktop\git\pj2\pj2-front\src\pages\main\hook-store\business-hooks\main-lv2-des-business.js                      | JavaScript |          0 |          0 |          1 |          1 |
| c:\Users\서보형\Desktop\git\pj2\pj2-front\src\pages\main\hook-store\business-hooks\main-lv3-des-business.js                      | JavaScript |          0 |          0 |          1 |          1 |
| c:\Users\서보형\Desktop\git\pj2\pj2-front\src\pages\main\hook-store\business-hooks\main-lv4-des-business.js                      | JavaScript |          0 |          0 |          1 |          1 |
| c:\Users\서보형\Desktop\git\pj2\pj2-front\src\pages\main\hook-store\business-hooks\main-lv5-des-business.js                      | JavaScript |         35 |          6 |          5 |         46 |
| c:\Users\서보형\Desktop\git\pj2\pj2-front\src\pages\main\hook-store\style-hooks\main-lv1-des-style.js                            | JavaScript |          6 |          0 |          3 |          9 |
| c:\Users\서보형\Desktop\git\pj2\pj2-front\src\pages\main\hook-store\style-hooks\main-lv2-des-style.js                            | JavaScript |          6 |          0 |          3 |          9 |
| c:\Users\서보형\Desktop\git\pj2\pj2-front\src\pages\main\hook-store\style-hooks\main-lv3-des-style.js                            | JavaScript |          0 |          0 |          1 |          1 |
| c:\Users\서보형\Desktop\git\pj2\pj2-front\src\pages\main\hook-store\style-hooks\main-lv4-des-style.js                            | JavaScript |          6 |          0 |          3 |          9 |
| c:\Users\서보형\Desktop\git\pj2\pj2-front\src\pages\main\hook-store\style-hooks\main-lv5-des-style.js                            | JavaScript |         15 |          2 |          5 |         22 |
| c:\Users\서보형\Desktop\git\pj2\pj2-front\src\pages\main\hook-store\style-hooks\main-style.js                                    | JavaScript |         47 |          2 |          6 |         55 |
| c:\Users\서보형\Desktop\git\pj2\pj2-front\src\pages\main\lv1-description\Lv1-description.css                                     | CSS        |         42 |          0 |          3 |         45 |
| c:\Users\서보형\Desktop\git\pj2\pj2-front\src\pages\main\lv1-description\Lv1-description.js                                      | JavaScript |         43 |          1 |          6 |         50 |
| c:\Users\서보형\Desktop\git\pj2\pj2-front\src\pages\main\lv2-description\Lv2-description.css                                     | CSS        |         75 |          2 |         10 |         87 |
| c:\Users\서보형\Desktop\git\pj2\pj2-front\src\pages\main\lv2-description\Lv2-description.js                                      | JavaScript |         64 |          1 |          7 |         72 |
| c:\Users\서보형\Desktop\git\pj2\pj2-front\src\pages\main\lv3-description\Lv3-description.css                                     | CSS        |         60 |          0 |          4 |         64 |
| c:\Users\서보형\Desktop\git\pj2\pj2-front\src\pages\main\lv3-description\Lv3-description.js                                      | JavaScript |         50 |         26 |          8 |         84 |
| c:\Users\서보형\Desktop\git\pj2\pj2-front\src\pages\main\lv4-description\Lv4-description.css                                     | CSS        |         82 |          4 |         11 |         97 |
| c:\Users\서보형\Desktop\git\pj2\pj2-front\src\pages\main\lv4-description\Lv4-description.js                                      | JavaScript |         67 |          1 |          8 |         76 |
| c:\Users\서보형\Desktop\git\pj2\pj2-front\src\pages\main\lv5-description\lv5-description.css                                     | CSS        |         82 |          2 |         11 |         95 |
| c:\Users\서보형\Desktop\git\pj2\pj2-front\src\pages\main\lv5-description\lv5-description.js                                      | JavaScript |         72 |          1 |          8 |         81 |
| c:\Users\서보형\Desktop\git\pj2\pj2-front\src\pages\main\mainApp\MainApp.css                                                     | CSS        |         32 |          0 |          1 |         33 |
| c:\Users\서보형\Desktop\git\pj2\pj2-front\src\pages\main\mainApp\MainApp.js                                                      | JavaScript |         66 |         13 |          9 |         88 |
| c:\Users\서보형\Desktop\git\pj2\pj2-front\src\pages\main\search-description\Search-descripton.css                                | CSS        |         19 |          1 |          0 |         20 |
| c:\Users\서보형\Desktop\git\pj2\pj2-front\src\pages\main\search-description\Search-descripton.js                                 | JavaScript |         19 |          0 |          5 |         24 |
| c:\Users\서보형\Desktop\git\pj2\pj2-front\src\pages\membership\agree_app\agree.js                                                | JavaScript |         83 |          5 |          8 |         96 |
| c:\Users\서보형\Desktop\git\pj2\pj2-front\src\pages\membership\agree_app\agree.scss                                              | SCSS       |         88 |          9 |          5 |        102 |
| c:\Users\서보형\Desktop\git\pj2\pj2-front\src\pages\membership\email_prove_app\email_prove.js                                    | JavaScript |        113 |          6 |          8 |        127 |
| c:\Users\서보형\Desktop\git\pj2\pj2-front\src\pages\membership\email_prove_app\email_prove.scss                                  | SCSS       |         91 |          8 |          5 |        104 |
| c:\Users\서보형\Desktop\git\pj2\pj2-front\src\pages\membership\hook-store\business-hooks\membership_complete_business.js         | JavaScript |          5 |          0 |          5 |         10 |
| c:\Users\서보형\Desktop\git\pj2\pj2-front\src\pages\membership\hook-store\business-hooks\membership_email_business.js            | JavaScript |         80 |         33 |         27 |        140 |
| c:\Users\서보형\Desktop\git\pj2\pj2-front\src\pages\membership\hook-store\business-hooks\membership_join_business.js             | JavaScript |         75 |         23 |         19 |        117 |
| c:\Users\서보형\Desktop\git\pj2\pj2-front\src\pages\membership\hook-store\business-hooks\membership_login_business.js            | JavaScript |         40 |         14 |         11 |         65 |
| c:\Users\서보형\Desktop\git\pj2\pj2-front\src\pages\membership\hook-store\business-hooks\membership_profile_business.js          | JavaScript |         96 |         31 |         21 |        148 |
| c:\Users\서보형\Desktop\git\pj2\pj2-front\src\pages\membership\hook-store\style-hooks\membership_agree_style.js                  | JavaScript |         30 |          8 |          7 |         45 |
| c:\Users\서보형\Desktop\git\pj2\pj2-front\src\pages\membership\hook-store\style-hooks\membership_complete_style.js               | JavaScript |         48 |          8 |          8 |         64 |
| c:\Users\서보형\Desktop\git\pj2\pj2-front\src\pages\membership\join_app\join.js                                                  | JavaScript |        103 |          5 |          9 |        117 |
| c:\Users\서보형\Desktop\git\pj2\pj2-front\src\pages\membership\join_app\join.scss                                                | SCSS       |         75 |          8 |          5 |         88 |
| c:\Users\서보형\Desktop\git\pj2\pj2-front\src\pages\membership\join_complete_app\join_complete.js                                | JavaScript |         35 |          4 |          6 |         45 |
| c:\Users\서보형\Desktop\git\pj2\pj2-front\src\pages\membership\join_complete_app\join_complete.scss                              | SCSS       |         39 |          0 |          2 |         41 |
| c:\Users\서보형\Desktop\git\pj2\pj2-front\src\pages\membership\login_app\login.js                                                | JavaScript |         59 |          5 |         10 |         74 |
| c:\Users\서보형\Desktop\git\pj2\pj2-front\src\pages\membership\login_app\login.scss                                              | SCSS       |         67 |         12 |          6 |         85 |
| c:\Users\서보형\Desktop\git\pj2\pj2-front\src\pages\membership\profile_app\profile.js                                            | JavaScript |        158 |          8 |         11 |        177 |
| c:\Users\서보형\Desktop\git\pj2\pj2-front\src\pages\membership\profile_app\profile.scss                                          | SCSS       |        130 |         10 |          8 |        148 |
| c:\Users\서보형\Desktop\git\pj2\pj2-front\src\pages\reservation\res-con\res-con-payment\Res-con-payment.css                      | CSS        |         56 |          4 |          4 |         64 |
| c:\Users\서보형\Desktop\git\pj2\pj2-front\src\pages\reservation\res-con\res-con-payment\Res-con-payment.js                       | JavaScript |         37 |          0 |          5 |         42 |
| c:\Users\서보형\Desktop\git\pj2\pj2-front\src\pages\reservation\res-con\res-con-sec1\Res-con-sec1.css                            | CSS        |         97 |          6 |          4 |        107 |
| c:\Users\서보형\Desktop\git\pj2\pj2-front\src\pages\reservation\res-con\res-con-sec1\Res-con-sec1.js                             | JavaScript |         79 |          1 |         11 |         91 |
| c:\Users\서보형\Desktop\git\pj2\pj2-front\src\pages\reservation\reservationApp\ReservationApp.css                                | CSS        |         25 |          2 |          0 |         27 |
| c:\Users\서보형\Desktop\git\pj2\pj2-front\src\pages\reservation\reservationApp\ReservationApp.js                                 | JavaScript |         31 |          1 |         12 |         44 |
| c:\Users\서보형\Desktop\git\pj2\pj2-front\src\pages\sub\hook-store\business-hooks\sub-subApp-business.js                         | JavaScript |         73 |         19 |         12 |        104 |
| c:\Users\서보형\Desktop\git\pj2\pj2-front\src\pages\sub\hook-store\business-hooks\sub-subList-business.js                        | JavaScript |          7 |          1 |         12 |         20 |
| c:\Users\서보형\Desktop\git\pj2\pj2-front\src\pages\sub\hook-store\style-hooks\sub-subApp-style.js                               | JavaScript |          4 |          0 |          2 |          6 |
| c:\Users\서보형\Desktop\git\pj2\pj2-front\src\pages\sub\hook-store\style-hooks\sub-subList-style.js                              | JavaScript |         42 |         16 |         19 |         77 |
| c:\Users\서보형\Desktop\git\pj2\pj2-front\src\pages\sub\subApp\SubApp.css                                                        | CSS        |         44 |          2 |          2 |         48 |
| c:\Users\서보형\Desktop\git\pj2\pj2-front\src\pages\sub\subApp\SubApp.js                                                         | JavaScript |         81 |          9 |         11 |        101 |
| c:\Users\서보형\Desktop\git\pj2\pj2-front\src\pages\sub\subList\SubList.css                                                      | CSS        |         36 |          3 |          0 |         39 |
| c:\Users\서보형\Desktop\git\pj2\pj2-front\src\pages\sub\subList\SubList.js                                                       | JavaScript |        136 |         12 |         16 |        164 |
| c:\Users\서보형\Desktop\git\pj2\pj2-front\src\pages\terms\creatorIntro\Terms_creator.css                                         | CSS        |         55 |          3 |          4 |         62 |
| c:\Users\서보형\Desktop\git\pj2\pj2-front\src\pages\terms\creatorIntro\Terms_creator.js                                          | JavaScript |         58 |          0 |         11 |         69 |
| c:\Users\서보형\Desktop\git\pj2\pj2-front\src\pages\terms\hostTerms\Terms_host.css                                               | CSS        |         41 |          2 |          2 |         45 |
| c:\Users\서보형\Desktop\git\pj2\pj2-front\src\pages\terms\hostTerms\Terms_host.js                                                | JavaScript |         59 |          2 |         15 |         76 |
| c:\Users\서보형\Desktop\git\pj2\pj2-front\src\pages\terms\pageDevelope\Terms_develope.css                                        | CSS        |         24 |          1 |          1 |         26 |
| c:\Users\서보형\Desktop\git\pj2\pj2-front\src\pages\terms\pageDevelope\Terms_develope.js                                         | JavaScript |         27 |          0 |         11 |         38 |
| c:\Users\서보형\Desktop\git\pj2\pj2-front\src\pages\terms\referToSite\Terms_refertosite.css                                      | CSS        |         33 |          2 |          2 |         37 |
| c:\Users\서보형\Desktop\git\pj2\pj2-front\src\pages\terms\referToSite\Terms_refertosite.js                                       | JavaScript |         46 |          0 |         11 |         57 |
| c:\Users\서보형\Desktop\git\pj2\pj2-front\src\pages\terms\serviceTerms\Terms_homepage.css                                        | CSS        |         41 |          2 |          2 |         45 |
| c:\Users\서보형\Desktop\git\pj2\pj2-front\src\pages\terms\serviceTerms\Terms_homepage.js                                         | JavaScript |         59 |          2 |         17 |         78 |
| c:\Users\서보형\Desktop\git\pj2\pj2-front\src\pages\terms\usingLibrary\Terms_library.css                                         | CSS        |         39 |          2 |          2 |         43 |
| c:\Users\서보형\Desktop\git\pj2\pj2-front\src\pages\terms\usingLibrary\Terms_library.js                                          | JavaScript |         57 |          0 |          9 |         66 |
| c:\Users\서보형\Desktop\git\pj2\pj2-front\src\picture\hazy-img\hazy-img.css                                                      | CSS        |          7 |          0 |          1 |          8 |
| c:\Users\서보형\Desktop\git\pj2\pj2-front\src\picture\hazy-img\hazy-img.js                                                       | JavaScript |         11 |          1 |          5 |         17 |
| c:\Users\서보형\Desktop\git\pj2\pj2-front\src\picture\history-main\History-main.css                                              | CSS        |          8 |          0 |          0 |          8 |
| c:\Users\서보형\Desktop\git\pj2\pj2-front\src\picture\history-main\History-main.js                                               | JavaScript |          8 |          0 |          4 |         12 |
| c:\Users\서보형\Desktop\git\pj2\pj2-front\src\picture\original_img\original_img.js                                               | JavaScript |         14 |          1 |          4 |         19 |
| c:\Users\서보형\Desktop\git\pj2\pj2-front\src\picture\original_img\original_img.scss                                             | SCSS       |         13 |          0 |          1 |         14 |
| c:\Users\서보형\Desktop\git\pj2\pj2-front\src\picture\pastel-img\pastel-img.css                                                  | CSS        |         18 |          0 |          0 |         18 |
| c:\Users\서보형\Desktop\git\pj2\pj2-front\src\picture\pastel-img\pastel-img.js                                                   | JavaScript |         12 |          1 |          5 |         18 |
| c:\Users\서보형\Desktop\git\pj2\pj2-front\src\picture\static-img\static-img.css                                                  | CSS        |         10 |          0 |          0 |         10 |
| c:\Users\서보형\Desktop\git\pj2\pj2-front\src\picture\static-img\static-img.js                                                   | JavaScript |         11 |          1 |          5 |         17 |
| c:\Users\서보형\Desktop\git\pj2\pj2-front\src\redux\config\configStore.js                                                        | JavaScript |         17 |          6 |          6 |         29 |
| c:\Users\서보형\Desktop\git\pj2\pj2-front\src\redux\modules\listhoverSlice.js                                                    | JavaScript |         23 |          5 |          5 |         33 |
| c:\Users\서보형\Desktop\git\pj2\pj2-front\src\redux\modules\mapSlice.js                                                          | JavaScript |         27 |          6 |          6 |         39 |
| c:\Users\서보형\Desktop\git\pj2\pj2-front\src\redux\modules\modaldataSlice.js                                                    | JavaScript |         63 |         10 |          8 |         81 |
| c:\Users\서보형\Desktop\git\pj2\pj2-front\src\redux\modules\overaySlice.js                                                       | JavaScript |         17 |          4 |          3 |         24 |
| c:\Users\서보형\Desktop\git\pj2\pj2-front\src\redux\modules\searchSlice.js                                                       | JavaScript |         14 |          2 |          3 |         19 |
| c:\Users\서보형\Desktop\git\pj2\pj2-front\src\router\conditional_router\conditional_router.js                                    | JavaScript |         31 |          3 |          5 |         39 |
| c:\Users\서보형\Desktop\git\pj2\pj2-front\src\router\parameter_router\parameter_router.js                                        | JavaScript |         54 |         19 |         11 |         84 |
| c:\Users\서보형\Desktop\git\pj2\pj2-front\src\router\private_router\private_router.js                                            | JavaScript |         29 |          1 |          6 |         36 |
| c:\Users\서보형\Desktop\git\pj2\pj2-front\src\sessionStorage\session_storage.js                                                  | JavaScript |         45 |          6 |          7 |         58 |
| c:\Users\서보형\Desktop\git\pj2\pj2-front\src\utilComponent\Button\booleanBtn\BooleanBtn.css                                     | CSS        |         15 |          0 |          2 |         17 |
| c:\Users\서보형\Desktop\git\pj2\pj2-front\src\utilComponent\Button\booleanBtn\BooleanBtn.js                                      | JavaScript |         14 |          8 |          4 |         26 |
| c:\Users\서보형\Desktop\git\pj2\pj2-front\src\utilComponent\Button\checkBtn\CheckBtn.css                                         | CSS        |         13 |          0 |          0 |         13 |
| c:\Users\서보형\Desktop\git\pj2\pj2-front\src\utilComponent\Button\checkBtn\CheckBtn.js                                          | JavaScript |         47 |          6 |          9 |         62 |
| c:\Users\서보형\Desktop\git\pj2\pj2-front\src\utilComponent\Button\filterBtn\FilterBtn.css                                       | CSS        |         15 |          0 |          1 |         16 |
| c:\Users\서보형\Desktop\git\pj2\pj2-front\src\utilComponent\Button\filterBtn\FilterBtn.js                                        | JavaScript |         21 |          6 |          8 |         35 |
| c:\Users\서보형\Desktop\git\pj2\pj2-front\src\utilComponent\Button\hook-store\business-hooks\button-checkbtn-bunisess.js         | JavaScript |         41 |         23 |         16 |         80 |
| c:\Users\서보형\Desktop\git\pj2\pj2-front\src\utilComponent\Button\hook-store\business-hooks\button-filterbtn-business.js        | JavaScript |         33 |         10 |         10 |         53 |
| c:\Users\서보형\Desktop\git\pj2\pj2-front\src\utilComponent\Button\hook-store\business-hooks\button-pricebtn-business.js         | JavaScript |        138 |         41 |         43 |        222 |
| c:\Users\서보형\Desktop\git\pj2\pj2-front\src\utilComponent\Button\hook-store\business-hooks\button_linkbtn_business.js          | JavaScript |         42 |         13 |          6 |         61 |
| c:\Users\서보형\Desktop\git\pj2\pj2-front\src\utilComponent\Button\hook-store\style-hooks\button-checkbtn-style.js               | JavaScript |         27 |          3 |          6 |         36 |
| c:\Users\서보형\Desktop\git\pj2\pj2-front\src\utilComponent\Button\hook-store\style-hooks\button-filterbtn-style.js              | JavaScript |          4 |          0 |          2 |          6 |
| c:\Users\서보형\Desktop\git\pj2\pj2-front\src\utilComponent\Button\hook-store\style-hooks\button-pricebtn-style.js               | JavaScript |          4 |          0 |          2 |          6 |
| c:\Users\서보형\Desktop\git\pj2\pj2-front\src\utilComponent\Button\hook-store\style-hooks\button_linkbtn_style.js                | JavaScript |         22 |          3 |          2 |         27 |
| c:\Users\서보형\Desktop\git\pj2\pj2-front\src\utilComponent\Button\link_btn\link_btn.js                                          | JavaScript |         23 |          4 |          3 |         30 |
| c:\Users\서보형\Desktop\git\pj2\pj2-front\src\utilComponent\Button\link_btn\link_btn.scss                                        | SCSS       |          7 |          0 |          1 |          8 |
| c:\Users\서보형\Desktop\git\pj2\pj2-front\src\utilComponent\Button\mainBtn\MainBtn.css                                           | CSS        |         11 |          0 |          1 |         12 |
| c:\Users\서보형\Desktop\git\pj2\pj2-front\src\utilComponent\Button\mainBtn\MainBtn.js                                            | JavaScript |         14 |          0 |          3 |         17 |
| c:\Users\서보형\Desktop\git\pj2\pj2-front\src\utilComponent\Button\priceBtn\PriceBtn.css                                         | CSS        |         33 |          2 |          6 |         41 |
| c:\Users\서보형\Desktop\git\pj2\pj2-front\src\utilComponent\Button\priceBtn\PriceBtn.js                                          | JavaScript |         71 |         13 |         12 |         96 |
| c:\Users\서보형\Desktop\git\pj2\pj2-front\src\utilComponent\Button\slideBtn\Lslide-btn\Lslide_btn.css                            | CSS        |         15 |          0 |          3 |         18 |
| c:\Users\서보형\Desktop\git\pj2\pj2-front\src\utilComponent\Button\slideBtn\Lslide-btn\Lslide_btn.js                             | JavaScript |         13 |          0 |          1 |         14 |
| c:\Users\서보형\Desktop\git\pj2\pj2-front\src\utilComponent\Button\slideBtn\Rslide-btn\Rslide_btn.css                            | CSS        |         15 |          0 |          4 |         19 |
| c:\Users\서보형\Desktop\git\pj2\pj2-front\src\utilComponent\Button\slideBtn\Rslide-btn\Rslide_btn.js                             | JavaScript |         13 |          1 |          1 |         15 |
| c:\Users\서보형\Desktop\git\pj2\pj2-front\src\utilComponent\material\card\card.css                                               | CSS        |         80 |          5 |          7 |         92 |
| c:\Users\서보형\Desktop\git\pj2\pj2-front\src\utilComponent\material\card\card.js                                                | JavaScript |         60 |          7 |         11 |         78 |
| c:\Users\서보형\Desktop\git\pj2\pj2-front\src\utilComponent\material\congratulation\congratulation.js                            | JavaScript |         25 |          6 |          6 |         37 |
| c:\Users\서보형\Desktop\git\pj2\pj2-front\src\utilComponent\material\congratulation\congratulation.scss                          | SCSS       |         28 |          0 |          2 |         30 |
| c:\Users\서보형\Desktop\git\pj2\pj2-front\src\utilComponent\material\dropdown\dropdown.css                                       | CSS        |         48 |          6 |         10 |         64 |
| c:\Users\서보형\Desktop\git\pj2\pj2-front\src\utilComponent\material\dropdown\dropdown.js                                        | JavaScript |         57 |          7 |          8 |         72 |
| c:\Users\서보형\Desktop\git\pj2\pj2-front\src\utilComponent\material\hook-store\business-hooks\material-card-business.js         | JavaScript |          4 |          0 |          3 |          7 |
| c:\Users\서보형\Desktop\git\pj2\pj2-front\src\utilComponent\material\hook-store\business-hooks\material-dropdown-business.js     | JavaScript |         25 |          3 |         10 |         38 |
| c:\Users\서보형\Desktop\git\pj2\pj2-front\src\utilComponent\material\hook-store\business-hooks\material-kakaomap-business.js     | JavaScript |         99 |         27 |         25 |        151 |
| c:\Users\서보형\Desktop\git\pj2\pj2-front\src\utilComponent\material\hook-store\style-hooks\material-card-style.js               | JavaScript |         45 |         11 |         12 |         68 |
